rank	at_0_Kbps	At_490_Kbps	at_1_Gbps
883	2	1	1
884	NaN	NaN	NaN
885	NaN	NaN	NaN
886	NaN	NaN	NaN
887	NaN	NaN	NaN
888	NaN	NaN	NaN
889	NaN	NaN	NaN
890	NaN	NaN	NaN
891	NaN	NaN	NaN
892	NaN	NaN	NaN
893	NaN	NaN	NaN
894	NaN	NaN	NaN
895	1	1	1
896	NaN	NaN	NaN
897	NaN	NaN	NaN
898	NaN	NaN	NaN
899	NaN	NaN	NaN
900	NaN	NaN	NaN
901	NaN	NaN	NaN
902	NaN	NaN	NaN
903	NaN	NaN	NaN
904	NaN	NaN	NaN
905	NaN	NaN	NaN
906	NaN	NaN	NaN
907	NaN	NaN	NaN
908	NaN	NaN	NaN
909	1	1	1
910	NaN	NaN	NaN
911	NaN	NaN	NaN
912	NaN	NaN	NaN
913	NaN	NaN	NaN
914	NaN	NaN	NaN
915	NaN	NaN	NaN
916	NaN	NaN	NaN
917	NaN	NaN	NaN
918	NaN	NaN	NaN
919	NaN	NaN	NaN
920	NaN	NaN	NaN
921	NaN	NaN	NaN
922	NaN	NaN	NaN
923	NaN	NaN	NaN
924	NaN	NaN	NaN
925	1	1	1
926	NaN	NaN	NaN
927	NaN	NaN	NaN
928	NaN	NaN	NaN
929	NaN	NaN	NaN
930	NaN	NaN	NaN
931	NaN	NaN	NaN
932	NaN	NaN	NaN
933	NaN	NaN	NaN
934	NaN	NaN	NaN
935	NaN	NaN	NaN
936	1	1	1
937	NaN	NaN	NaN
938	1	1	1
939	1	1	1
940	NaN	NaN	NaN
941	1	1	1
942	1	1	1
943	2	1	1
944	1	1	1
945	NaN	NaN	NaN
946	NaN	NaN	NaN
947	NaN	NaN	NaN
948	1	1	1
949	NaN	NaN	NaN
950	NaN	NaN	NaN
951	1	1	1
952	1	1	1
953	1	2	1
954	NaN	NaN	NaN
955	NaN	NaN	NaN
956	2	1	1
957	NaN	NaN	NaN
958	NaN	NaN	NaN
959	1	1	1
960	NaN	NaN	NaN
961	NaN	NaN	NaN
962	NaN	NaN	NaN
963	NaN	NaN	NaN
964	1	1	1
965	NaN	NaN	NaN
966	NaN	NaN	NaN
967	NaN	NaN	NaN
968	1	1	2
969	NaN	NaN	NaN
970	NaN	NaN	NaN
971	1	1	1
972	NaN	NaN	NaN
973	1	1	1
974	NaN	NaN	NaN
975	NaN	NaN	NaN
976	1	1	1
977	NaN	NaN	NaN
978	NaN	NaN	NaN
979	NaN	NaN	NaN
980	NaN	NaN	NaN
981	NaN	NaN	NaN
982	NaN	NaN	NaN
983	NaN	NaN	NaN
984	NaN	NaN	NaN
985	NaN	NaN	NaN
986	NaN	NaN	NaN
987	NaN	NaN	NaN
988	NaN	NaN	NaN
989	NaN	NaN	NaN
990	NaN	NaN	NaN
991	NaN	NaN	NaN
992	NaN	NaN	NaN
993	NaN	NaN	NaN
994	NaN	NaN	NaN
995	NaN	NaN	NaN
996	NaN	NaN	NaN
997	NaN	NaN	NaN
998	NaN	NaN	NaN
999	NaN	NaN	NaN
1000	NaN	NaN	NaN
