#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8
372 3 0 0 0 0 0 0 0 0
373 8 0 0 0 0 0 0 0 0
374 2 0 0 0 0 0 0 0 0
375 8 0 0 0 0 0 0 0 0
376 5 0 0 0 0 0 0 0 0
377 6 0 0 0 0 0 0 0 0
378 2 0 0 0 0 0 0 0 0
379 3 0 0 0 0 0 0 0 0
380 6 0 0 0 0 0 0 0 0
381 3 0 0 0 0 0 0 0 0
382 1 0 0 0 0 0 0 0 0
383 0 0 0 0 0 0 0 0 0
384 5 0 0 0 0 0 0 0 0
385 5 0 0 0 0 0 0 0 0
386 4 0 0 0 0 0 0 0 0
387 4 0 0 0 0 0 0 0 0
388 4 0 0 0 0 0 0 0 0
389 5 0 0 0 0 0 0 0 0
390 1 0 0 0 0 0 0 0 0
391 5 0 0 0 0 0 0 0 0
392 4 0 0 0 0 0 0 0 0
393 5 0 0 0 0 0 0 0 0
394 5 0 0 0 0 0 0 0 0
395 7 0 0 0 0 0 0 0 0
396 2 0 0 0 0 0 0 0 0
397 4 0 0 0 0 0 0 0 0
398 1 0 0 0 0 0 0 0 0
399 0 0 0 0 0 0 0 0 0
400 1 0 0 0 0 0 0 0 0
401 5 0 0 0 0 0 0 0 0
402 1 0 0 0 0 0 0 0 0
403 4 0 0 0 0 0 0 0 0
404 4 0 0 0 0 0 0 0 0
405 0 0 0 0 0 0 0 0 0
406 8 0 0 0 0 0 0 0 0
407 2 0 0 0 0 0 0 0 0
408 4 0 0 0 0 0 0 0 0
409 4 0 0 0 0 0 0 0 0
410 5 0 0 0 0 0 0 0 0
411 1 0 0 0 0 0 0 0 0
412 3 0 0 0 0 0 0 0 0
413 5 0 0 0 0 0 0 0 0
414 4 0 0 0 0 0 0 0 0
415 1 0 0 0 0 0 0 0 0
416 3 0 0 0 0 0 0 0 0
417 4 0 0 0 0 0 0 0 0
418 2 0 0 0 0 0 0 0 0
419 10 0 0 0 0 0 0 0 0
420 3 0 0 0 0 0 0 0 0
421 0 0 0 0 0 0 0 0 0
422 4 0 0 0 0 0 0 0 0
423 3 0 0 0 0 0 0 0 0
424 5 0 0 0 0 0 0 0 0
425 1 0 0 0 0 0 0 0 0
426 1 0 0 0 0 0 0 0 0
427 4 0 0 0 0 0 0 0 0
428 0 0 0 0 0 0 0 0 0
429 4 0 0 0 0 0 0 0 0
430 5 0 0 0 0 0 0 0 0
431 2 0 0 0 0 0 0 0 0
432 4 0 0 0 0 0 0 0 0
433 0 0 0 0 0 0 0 0 0
434 5 0 0 0 0 0 0 0 0
435 4 0 0 0 0 0 0 0 0
436 0 0 0 0 0 0 0 0 0
437 0 0 0 0 0 0 0 0 0
438 3 0 0 0 0 0 0 0 0
439 1 0 0 0 0 0 0 0 0
440 3 0 0 0 0 0 0 0 0
441 4 0 0 0 0 0 0 0 0
442 2 0 0 0 0 0 0 0 0
443 4 0 0 0 0 0 0 0 0
444 2 0 0 0 0 0 0 0 0
445 5 0 0 0 0 0 0 0 0
446 5 0 0 0 0 0 0 0 0
447 3 0 0 0 0 0 0 0 0
448 1 0 0 0 0 0 0 0 0
449 1 0 0 0 0 0 0 0 0
450 3 0 0 0 0 0 0 0 0
451 0 0 0 0 0 0 0 0 0
452 6 0 0 0 0 0 0 0 0
453 3 0 0 0 0 0 0 0 0
454 2 0 0 0 0 0 0 0 0
455 2 0 0 0 0 0 0 0 0
456 1 0 0 0 0 0 0 0 0
457 3 0 0 0 0 0 0 0 0
458 3 0 0 0 0 0 0 0 0
459 5 0 0 0 0 0 0 0 0
460 2 0 0 0 0 0 0 0 0
461 3 0 0 0 0 0 0 0 0
