#1.N,2.ctlg,3.ctlg_eps,4.ctlg_perm,5.K,6.alpha0,7.alpha_eps,8.req_eps,9.R_perm,10.hit_opt%,11.hit_unif%,12.improvement%,c2ctlg
4,1000000,0.2,2,10,1,0.2,0.4,1,21.3238,16.9401,4.38363,1E-5
2,1000000,0.4,2,10,1,0.4,0,1,34.4678,30.0932,4.3746,1E-5
2,1000000,0.4,2,10,1,0.4,0,2,34.4678,30.0932,4.3746,1E-5
2,100000,0.4,1,10000,0.7,0.2,0.4,2,53.6866,49.3148,4.37188,1E-1
4,100000,0.4,1,10000,0.4,0,0.4,2,32.0762,27.7068,4.36942,1E-1
4,100000,0.4,2,10000,0.4,0,0.4,1,32.0762,27.7068,4.36942,1E-1
8,1000000,0.4,1,10,1,0.4,0.4,1,21.7007,17.3415,4.35913,1E-5
2,1000000,0.2,2,10,1,0.4,0,1,34.4483,30.0939,4.35436,1E-5
2,1000000,0.2,2,10,1,0.4,0,2,34.4483,30.0939,4.35436,1E-5
8,100000,0.4,1,10,1,0.4,0,2,17.8037,13.4534,4.35029,1E-4
8,100000,0,1,10,1,0.4,0,2,17.8609,13.5156,4.34534,1E-4
8,1000000,0.4,1,10,1,0.4,0,1,16.9245,12.5939,4.33056,1E-5
2,1000000,0,1,10,1,0.4,0,1,34.4346,30.1044,4.33022,1E-5
2,1000000,0,1,10,1,0.4,0,2,34.4346,30.1044,4.33022,1E-5
2,1000000,0,2,10,1,0.4,0,1,34.4346,30.1044,4.33022,1E-5
2,1000000,0,2,10,1,0.4,0,2,34.4346,30.1044,4.33022,1E-5
4,100000,0.4,1,10000,1,0.4,0.2,2,76.6634,72.3392,4.32415,1E-1
8,100000,0.4,1,10000,1,0.4,0.4,2,74.5429,70.2328,4.31009,1E-1
2,1000000,0.2,1,10,1,0.4,0,1,34.4243,30.1251,4.29922,1E-5
2,1000000,0.2,1,10,1,0.4,0,2,34.4243,30.1251,4.29922,1E-5
4,100000,0,1,10000,1,0.4,0.4,2,70.2988,66.0091,4.28961,1E-1
4,100000,0,2,10000,1,0.4,0.4,2,70.2988,66.0091,4.28961,1E-1
2,100000,0.2,1,10000,0.7,0.4,0.4,2,48.1371,43.8497,4.28744,1E-1
4,100000,0.4,1,10,1,0.4,0.4,1,30.9856,26.7115,4.27412,1E-4
8,1000000,0.4,1,10,1,0.4,0.2,1,19.2484,14.9754,4.27303,1E-5
