#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10
233 13 0 0 0 0.000995025 0 0.000332005 0 0 0.000543478 0.00192944
234 7 0 0 0 0 0 0.000996016 0 0 0.00108696 0
235 11 0 0 0 0 0 0.000332005 0 0.00179276 0.00108696 0.000275634
236 8 0 0 0.00357143 0.00066335 0 0 0 0 0.00108696 0
237 7 0 0 0 0 0 0.000664011 0 0.00143421 0.000271739 0
238 6 0 0 0 0.00066335 0 0 0 0.000358551 0.000815217 0
239 11 0 0 0 0.00066335 0 0.000996016 0 0.00143421 0 0.000551268
240 6 0 0 0 0.000331675 0 0.000332005 0 0 0 0.00110254
241 9 0 0 0.00178571 0.000995025 0 0 0 0.000358551 0.000815217 0.000275634
242 7 0 0 0 0.000331675 0 0.000996016 0 0.000717103 0 0.000275634
243 9 0 0 0 0 0 0.000996016 0 0.000358551 0.000815217 0.000551268
244 9 0 0 0 0.000995025 0 0.000664011 0 0.000717103 0.000271739 0.000275634
245 5 0 0 0 0 0 0 0 0.00143421 0.000271739 0
246 13 0 0 0 0 0 0.000996016 0 0.00250986 0.000543478 0.000275634
247 15 0 0 0 0.000995025 0 0.000996016 0 0.000717103 0.00108696 0.000826902
248 11 0 0 0.00535714 0.00066335 0 0 0 0.000358551 0.000543478 0.000826902
249 6 0 0 0 0.000331675 0 0 0 0.000358551 0.000543478 0.000551268
250 13 0 0 0.00714286 0.000331675 0 0.00166003 0 0.000717103 0.000271739 0
251 9 0 0 0.00178571 0 0 0 0 0 0.00108696 0.00110254
252 7 0 0 0 0.0013267 0 0 0 0.000717103 0 0.000275634
253 11 0 0 0.00357143 0.000331675 0 0 0 0.00143421 0.000815217 0.000275634
254 5 0 0 0 0.00165837 0 0 0 0 0 0
255 4 0 0 0 0.000331675 0 0.000332005 0 0.000358551 0.000271739 0
256 10 0 0 0.00535714 0.000995025 0 0 0 0.000358551 0.000543478 0.000275634
257 9 0 0 0 0.000331675 0 0 0 0.000358551 0.000543478 0.00137817
258 12 0 0 0.00357143 0.0013267 0 0 0 0 0.000815217 0.000826902
259 4 0 0 0 0.000331675 0 0 0 0.000358551 0.000271739 0.000275634
260 13 0 0 0.00714286 0.00066335 0 0 0 0.00143421 0.000271739 0.000551268
261 4 0 0 0 0.000995025 0 0 0 0 0.000271739 0
262 3 0 0 0 0.000331675 0.00238095 0 0 0 0 0.000275634
263 8 0 0 0.00178571 0 0 0.000332005 0 0 0 0.0016538
264 4 0 0 0 0.00066335 0 0 0 0.000358551 0.000271739 0
265 8 0 0 0 0.000995025 0 0.000664011 0 0.000358551 0.000543478 0
266 7 0 0 0 0 0 0.000664011 0 0.000358551 0.000815217 0.000275634
267 8 0 0 0 0.000995025 0 0.000664011 0 0 0.000815217 0
268 12 0 0 0 0 0.00952381 0.00199203 0 0.000717103 0 0
269 15 0 0 0 0.0013267 0 0.000996016 0 0.00107565 0.000271739 0.00110254
270 7 0 0 0 0.000331675 0 0.000664011 0 0 0.000543478 0.000551268
271 5 0 0 0 0.000995025 0 0 0 0 0.000271739 0.000275634
272 7 0 0 0 0 0 0.000332005 0 0.000358551 0.000543478 0.000826902
273 6 0 0 0 0 0 0.000664011 0 0 0 0.00110254
274 9 0 0 0 0.000331675 0 0.000332005 0 0.000358551 0 0.0016538
275 7 0 0 0 0 0 0.000996016 0 0.000717103 0.000271739 0.000275634
276 7 0 0 0 0.0013267 0 0.000664011 0 0 0 0.000275634
277 8 0 0 0 0.00066335 0 0.000664011 0 0.000358551 0.000271739 0.000551268
278 6 0 0 0 0 0 0.000332005 0 0.000358551 0.000815217 0.000275634
279 11 0 0 0 0.0013267 0.00714286 0.000996016 0 0 0 0.000275634
280 10 0 0 0 0 0.00714286 0.00132802 0 0.000717103 0.000271739 0
281 11 0 0 0 0.000995025 0 0.000332005 0 0.00215131 0 0.000275634
282 4 0 0 0 0.000331675 0 0 0 0.000358551 0 0.000551268
283 7 0 0 0 0.000331675 0 0.000664011 0 0.00143421 0 0
284 7 0 0 0 0.00066335 0 0.000664011 0 0.000358551 0.000543478 0
285 6 0 0 0 0.00066335 0 0 0 0.00107565 0.000271739 0
286 6 0 0 0 0.000995025 0 0 0 0.000358551 0.000271739 0.000275634
287 4 0 0 0 0.000331675 0 0 0 0.000358551 0 0.000551268
288 12 0 0 0 0.000995025 0 0.00199203 0 0.000358551 0.000271739 0.000275634
289 12 0 0 0 0.00066335 0 0.000332005 0 0 0.00217391 0.000275634
290 11 0 0 0 0.000331675 0.00238095 0.00132802 0 0 0.00108696 0.000275634
291 10 0 0 0 0.000331675 0 0.000332005 0 0.000717103 0.0013587 0.000275634
292 4 0 0 0 0 0 0 0 0.000358551 0.000543478 0.000275634
293 5 0 0 0 0.000331675 0 0.000332005 0 0.000358551 0.000543478 0
294 9 0 0 0 0.00165837 0 0.000332005 0 0.000358551 0.000271739 0.000275634
295 6 0 0 0 0 0 0.000332005 0 0.000358551 0.000543478 0.000551268
296 6 0 0 0 0.00066335 0.0047619 0 0 0 0.000271739 0.000275634
297 7 0 0 0 0 0 0 0 0.000358551 0.0013587 0.000275634
298 5 0 0 0 0 0 0.000664011 0 0.00107565 0 0
299 5 0 0 0 0 0 0 0 0.00107565 0.000543478 0
300 6 0 0 0 0.000331675 0 0.000332005 0 0.00107565 0.000271739 0
