#rank q_avg rank q_avg
701 2 0 0
702 NaN 0 NaN
703 2 0 0
704 NaN 0 NaN
705 NaN 0 NaN
706 2 0 0
707 NaN 0 NaN
708 NaN 0 NaN
709 2 0 0
710 NaN 0 NaN
711 2 0 0
712 NaN 0 NaN
713 NaN 0 NaN
714 2 0 0
715 NaN 0 NaN
716 NaN 0 NaN
717 NaN 0 NaN
718 NaN 0 NaN
719 NaN 0 NaN
720 NaN 0 NaN
721 NaN 0 NaN
722 NaN 0 NaN
723 2 0 0
724 NaN 0 NaN
725 NaN 0 NaN
726 NaN 0 NaN
727 NaN 0 NaN
728 NaN 0 NaN
729 NaN 0 NaN
730 NaN 0 NaN
731 NaN 0 NaN
732 NaN 0 NaN
733 2 0 0
734 NaN 0 NaN
735 NaN 0 NaN
736 NaN 0 NaN
737 2 0 0
738 2 0 0
739 NaN 0 NaN
740 NaN 0 NaN
741 NaN 0 NaN
742 NaN 0 NaN
743 NaN 0 NaN
744 NaN 0 NaN
745 NaN 0 NaN
746 NaN 0 NaN
747 NaN 0 NaN
748 NaN 0 NaN
749 NaN 0 NaN
750 NaN 0 NaN
751 2 0 0
752 NaN 0 NaN
753 NaN 0 NaN
754 NaN 0 NaN
755 NaN 0 NaN
756 NaN 0 NaN
757 NaN 0 NaN
758 NaN 0 NaN
759 2 0 0
760 NaN 0 NaN
761 NaN 0 NaN
762 NaN 0 NaN
763 2 0 0
764 NaN 0 NaN
765 NaN 0 NaN
766 NaN 0 NaN
767 NaN 0 NaN
768 2 0 0
769 NaN 0 NaN
770 NaN 0 NaN
771 NaN 0 NaN
772 NaN 0 NaN
773 NaN 0 NaN
774 NaN 0 NaN
775 NaN 0 NaN
776 2 0 0
777 NaN 0 NaN
778 NaN 0 NaN
779 NaN 0 NaN
780 NaN 0 NaN
781 NaN 0 NaN
782 NaN 0 NaN
783 2 0 0
784 NaN 0 NaN
785 NaN 0 NaN
786 NaN 0 NaN
787 NaN 0 NaN
788 NaN 0 NaN
789 NaN 0 NaN
790 NaN 0 NaN
791 NaN 0 NaN
792 2 0 0
793 NaN 0 NaN
794 NaN 0 NaN
795 2 0 0
796 NaN 0 NaN
797 2 0 0
798 NaN 0 NaN
799 NaN 0 NaN
800 NaN 0 NaN
801 NaN 0 NaN
802 2 0 0
803 NaN 0 NaN
804 2 0 0
805 NaN 0 NaN
806 NaN 0 NaN
807 NaN 0 NaN
808 NaN 0 NaN
809 NaN 0 NaN
810 2 0 0
811 NaN 0 NaN
812 2 0 0
813 NaN 0 NaN
814 NaN 0 NaN
815 NaN 0 NaN
816 NaN 0 NaN
817 NaN 0 NaN
818 NaN 0 NaN
819 2 0 0
820 NaN 0 NaN
821 NaN 0 NaN
822 NaN 0 NaN
823 NaN 0 NaN
824 NaN 0 NaN
825 NaN 0 NaN
826 NaN 0 NaN
827 2 0 0
828 2 0 0
829 NaN 0 NaN
830 NaN 0 NaN
831 2 0 0
832 NaN 0 NaN
833 2 0 0
834 2 0 0
835 NaN 0 NaN
836 NaN 0 NaN
837 NaN 0 NaN
838 NaN 0 NaN
839 NaN 0 NaN
840 2 0 0
841 NaN 0 NaN
842 NaN 0 NaN
843 NaN 0 NaN
844 NaN 0 NaN
845 NaN 0 NaN
846 2 0 0
847 NaN 0 NaN
848 NaN 0 NaN
849 NaN 0 NaN
850 NaN 0 NaN
851 NaN 0 NaN
852 NaN 0 NaN
853 NaN 0 NaN
854 NaN 0 NaN
855 NaN 0 NaN
856 NaN 0 NaN
857 NaN 0 NaN
858 NaN 0 NaN
859 NaN 0 NaN
860 NaN 0 NaN
861 NaN 0 NaN
862 NaN 0 NaN
863 NaN 0 NaN
864 NaN 0 NaN
865 NaN 0 NaN
866 2 0 0
867 NaN 0 NaN
868 NaN 0 NaN
869 NaN 0 NaN
870 2 0 0
871 NaN 0 NaN
872 2 0 0
873 NaN 0 NaN
874 NaN 0 NaN
875 NaN 0 NaN
876 NaN 0 NaN
877 2 0 0
878 NaN 0 NaN
879 2 0 0
880 NaN 0 NaN
881 NaN 0 NaN
882 NaN 0 NaN
883 2 0 0
884 NaN 0 NaN
885 NaN 0 NaN
886 NaN 0 NaN
887 NaN 0 NaN
888 NaN 0 NaN
889 NaN 0 NaN
890 NaN 0 NaN
891 NaN 0 NaN
892 NaN 0 NaN
893 NaN 0 NaN
894 NaN 0 NaN
895 2 0 0
896 NaN 0 NaN
897 NaN 0 NaN
898 NaN 0 NaN
899 NaN 0 NaN
900 NaN 0 NaN
901 NaN 0 NaN
902 NaN 0 NaN
903 NaN 0 NaN
904 NaN 0 NaN
905 NaN 0 NaN
906 NaN 0 NaN
907 NaN 0 NaN
908 NaN 0 NaN
909 NaN 0 NaN
910 NaN 0 NaN
911 NaN 0 NaN
912 NaN 0 NaN
913 NaN 0 NaN
914 NaN 0 NaN
915 NaN 0 NaN
916 NaN 0 NaN
917 NaN 0 NaN
918 NaN 0 NaN
919 NaN 0 NaN
920 NaN 0 NaN
921 NaN 0 NaN
922 NaN 0 NaN
923 NaN 0 NaN
924 NaN 0 NaN
925 2 0 0
926 NaN 0 NaN
927 NaN 0 NaN
928 NaN 0 NaN
929 NaN 0 NaN
930 NaN 0 NaN
931 NaN 0 NaN
932 NaN 0 NaN
933 NaN 0 NaN
934 NaN 0 NaN
935 NaN 0 NaN
936 2 0 0
937 NaN 0 NaN
938 2 0 0
939 2 0 0
940 NaN 0 NaN
941 2 0 0
942 2 0 0
943 2 0 0
944 2 0 0
945 NaN 0 NaN
946 NaN 0 NaN
947 NaN 0 NaN
948 2 0 0
949 NaN 0 NaN
950 NaN 0 NaN
951 2 0 0
952 2 0 0
953 2 0 0
954 NaN 0 NaN
955 NaN 0 NaN
956 2 0 0
957 NaN 0 NaN
958 NaN 0 NaN
959 2 0 0
960 NaN 0 NaN
961 NaN 0 NaN
962 NaN 0 NaN
963 NaN 0 NaN
964 2 0 0
965 NaN 0 NaN
966 NaN 0 NaN
967 NaN 0 NaN
968 2 0 0
969 NaN 0 NaN
970 NaN 0 NaN
971 2 0 0
972 NaN 0 NaN
973 2 0 0
974 NaN 0 NaN
975 NaN 0 NaN
976 2 0 0
977 NaN 0 NaN
978 NaN 0 NaN
979 NaN 0 NaN
980 NaN 0 NaN
981 NaN 0 NaN
982 NaN 0 NaN
983 NaN 0 NaN
984 NaN 0 NaN
985 NaN 0 NaN
986 NaN 0 NaN
987 NaN 0 NaN
988 NaN 0 NaN
989 NaN 0 NaN
990 NaN 0 NaN
991 NaN 0 NaN
992 NaN 0 NaN
993 NaN 0 NaN
994 NaN 0 NaN
995 NaN 0 NaN
996 NaN 0 NaN
997 NaN 0 NaN
998 NaN 0 NaN
999 NaN 0 NaN
1000 NaN 0 NaN
