#rank	alpha_0_mean	alpha_0_conf	alpha_0.5_mean	alpha_0.5_conf	alpha_0.8_mean	alpha_0.8_conf	alpha_1_mean	alpha_1_conf	alpha_1.2_mean	alpha_1.2_conf	alpha_2_mean	alpha_2_conf
498	1	0	1	0	1	0	1	0	1	0	NaN	NaN
499	1	0	1	0	1	0	1	0	1	0	NaN	NaN
500	1	0	1	0	1	0	1	0	1	0	NaN	NaN
501	1	0	1	0	1	0	1	0	1	0	NaN	NaN
502	1	0	1	0	1	0	1	0	1	0	NaN	NaN
503	1	0	1	0	1	0	1	0	1	0	NaN	NaN
504	1	0	1	0	1	0	1	0	1	0	NaN	NaN
505	1	0	1	0	1	0	1	0	1	0	NaN	NaN
506	1	0	1	0	1	0	1	0	1	0	NaN	NaN
507	1	0	1	0	1	0	1	0	1	0	NaN	NaN
508	1	0	1	0	1	0	1	0	1	0	2	0
509	1	0	1	0	1	0	1	0	1	0	NaN	NaN
510	1	0	1	0	1	0	1	0	1	0	NaN	NaN
511	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
512	1	0	1	0	1	0	1	0	1	0	NaN	NaN
513	1	0	0.875	0.245	1	0	1	0	1	0	NaN	NaN
514	1	0	1	0	1	0	1	0	1	0	NaN	NaN
515	1	0	1	0	1	0	1	0	1	0	NaN	NaN
516	1	0	1	0	1	0	1	0	1	0	NaN	NaN
517	1	0	1	0	1	0	1	0	1	0	NaN	NaN
518	1	0	1	0	0.8888888889	0.2177777778	1	0	1	0	NaN	NaN
519	0.8888888889	0.2177777778	1	0	1	0	1	0	1	0	NaN	NaN
520	1	0	1	0	1	0	1	0	1	0	NaN	NaN
521	1	0	1	0	1	0	1	0	1	0	NaN	NaN
522	1	0	1	0	1	0	1	0	1	0	NaN	NaN
523	1	0	1	0	1	0	1	0	1	0	NaN	NaN
524	1	0	1	0	1	0	1	0	NaN	NaN	NaN	NaN
525	1	0	1	0	1	0	1	0	1	0	NaN	NaN
526	1	0	1	0	1	0	1	0	1	0	NaN	NaN
527	1	0	1	0	1	0	1	0	1	0	NaN	NaN
528	1	0	1	0	1	0	1	0	1	0	NaN	NaN
529	1	0	1	0	1	0	1	0	1	0	NaN	NaN
530	1	0	1	0	1	0	1	0	1	0	2	0
531	1	0	1	0	1	0	1	0	1	0	NaN	NaN
532	1	0	1	0	1	0	1	0	1	0	NaN	NaN
533	1	0	1	0	1	0	1	0	1	0	NaN	NaN
534	1	0	0.8571428571	0.28	1	0	1	0	1	0	NaN	NaN
535	1	0	1	0	1	0	1	0	1	0	NaN	NaN
536	1	0	1	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
537	1	0	1	0	1	0	1	0	1	0	NaN	NaN
538	1	0	1	0	1	0	1	0	NaN	NaN	NaN	NaN
539	1	0	1	0	1	0	1	0	1	0	NaN	NaN
540	1	0	1	0	1	0	1	0	1	0	NaN	NaN
541	1	0	1	0	1	0	1	0	1	0	NaN	NaN
542	1	0	1	0	1	0	1	0	1	0	NaN	NaN
543	1	0	1	0	1	0	1	0	1	0	NaN	NaN
544	1	0	1	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
545	1	0	1	0	1	0	1	0	1	0	NaN	NaN
546	1	0	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
547	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
548	1	0	1	0	1	0	1	0	1	0	NaN	NaN
549	1	0	1	0	0.875	0.245	1	0	1	0	NaN	NaN
550	1	0	1	0	0.8333333333	0.3266666667	1	0	1	0	NaN	NaN
551	1	0	1	0	1	0	1	0	1	0	NaN	NaN
552	1	0	0.9	0.196	1	0	1	0	1	0	NaN	NaN
553	1	0	1	0	1	0	1	0	1	0	NaN	NaN
554	1	0	1	0	1	0	1	0	1	0	NaN	NaN
555	1	0	1	0	1	0	1	0	1	0	NaN	NaN
556	1	0	1	0	1	0	1	0	1	0	NaN	NaN
557	1	0	1	0	1	0	1	0	1	0	NaN	NaN
558	1	0	1	0	1	0	1	0	1	0	NaN	NaN
559	1	0	1	0	1	0	1	0	1	0	NaN	NaN
560	1	0	1	0	1	0	1	0	1	0	NaN	NaN
561	1	0	1	0	0.75	0.49	1	0	1	0	NaN	NaN
562	1	0	1	0	0.75	0.49	1	0	1	0	NaN	NaN
563	1	0	1	0	1	0	1	0	1	0	NaN	NaN
564	1	0	1	0	1	0	1	0	1	0	NaN	NaN
565	1	0	1	0	1	0	1	0	1	0	NaN	NaN
566	1	0	1	0	0.7333334	0.3809555126	1	0	NaN	NaN	NaN	NaN
567	1	0	1	0	1	0	1	0	1	0	NaN	NaN
568	1	0	1	0	1	0	1	0	1	0	NaN	NaN
569	1	0	1	0	1	0	1	0	1	0	NaN	NaN
570	1	0	1	0	1	0	1	0	1	0	NaN	NaN
571	1	0	1	0	1	0	1	0	1	0	NaN	NaN
572	1	0	1	0	1	0	1	0	1	0	NaN	NaN
573	1	0	1	0	1	0	1	0	1	0	NaN	NaN
574	1	0	1	0	1	0	1	0	1	0	NaN	NaN
575	1	0	1	0	1	0	1	0	1	0	NaN	NaN
576	1	0	1	0	1	0	1	0	NaN	NaN	NaN	NaN
577	1	0	1	0	1	0	1	0	1	0	NaN	NaN
578	1	0	1	0	1	0	1	0	1	0	NaN	NaN
579	1	0	1	0	1	0	1	0	1	0	NaN	NaN
580	1	0	1	0	1	0	1	0	1	0	NaN	NaN
581	1	0	1	0	1	0	1	0	1	0	NaN	NaN
582	1	0	1	0	1	0	1	0	1	0	NaN	NaN
583	1	0	1	0	1	0	1	0	1	0	NaN	NaN
584	1	0	1	0	1	0	1	0	1	0	NaN	NaN
585	1	0	1	0	1	0	1	0	1	0	NaN	NaN
586	1	0	1	0	1	0	1	0	1	0	NaN	NaN
587	1	0	1	0	1	0	1	0	1	0	NaN	NaN
588	1	0	1	0	1	0	1	0	1	0	NaN	NaN
589	1	0	1	0	1	0	1	0	1	0	NaN	NaN
590	1	0	1	0	0.8571428571	0.28	1	0	1	0	NaN	NaN
