#1.N 2.ctlg 3.ctlg_eps 4.ctlg_perm 5.K 6.alpha0 7.alpha_eps 8.req_eps 9.R_perm 10.hit_opt% 11.hit_unif% 12.improvement%
2 100000 0.2 1 1e+01 1 0.4 0.2 1 41.5572 36.649 4.9082
2 100000 0.2 1 1e+02 1 0.4 0.2 1 53.6678 52.7834 0.884385
2 100000 0.2 1 1e+03 1 0.4 0.2 1 63.2557 63.096 0.15971
2 100000 0.2 1 1e+04 1 0.4 0.2 1 79.3605 76.1358 3.22472
2 100000 0.2 1 1e+01 1 0.4 0.2 2 27.7048 25.0149 2.68983
2 100000 0.2 1 1e+02 1 0.4 0.2 2 37.2656 37.1441 0.121461
2 100000 0.2 1 1e+03 1 0.4 0.2 2 48.5259 47.5284 0.997438
2 100000 0.2 1 1e+04 1 0.4 0.2 2 71.2081 65.0524 6.15577
2 100000 0.2 1 1e+01 1 0.4 0.4 1 48.4833 42.466 6.01738
2 100000 0.2 1 1e+02 1 0.4 0.4 1 62.0901 60.6031 1.48698
2 100000 0.2 1 1e+03 1 0.4 0.4 1 70.8852 70.8798 0.00548604
2 100000 0.2 1 1e+04 1 0.4 0.4 1 83.6349 81.6775 1.95742
2 100000 0.2 1 1e+01 1 0.4 0.4 2 20.7987 19.1979 1.60079
2 100000 0.2 1 1e+02 1 0.4 0.4 2 29.325 29.3244 0.000618737
2 100000 0.2 1 1e+03 1 0.4 0.4 2 41.4077 39.7447 1.663
2 100000 0.2 1 1e+04 1 0.4 0.4 2 67.3094 59.5106 7.79873
2 100000 0.2 1 1e+01 1 0.4 0 1 34.631 30.8319 3.79901
2 100000 0.2 1 1e+02 1 0.4 0 1 45.3882 44.9638 0.424458
2 100000 0.2 1 1e+03 1 0.4 0 1 55.8088 55.3122 0.496615
2 100000 0.2 1 1e+04 1 0.4 0 1 75.2244 70.5941 4.63036
2 100000 0.2 1 1e+01 1 0.4 0 2 34.631 30.8319 3.79901
2 100000 0.2 1 1e+02 1 0.4 0 2 45.3882 44.9638 0.424458
2 100000 0.2 1 1e+03 1 0.4 0 2 55.8088 55.3122 0.496615
2 100000 0.2 1 1e+04 1 0.4 0 2 75.2244 70.5941 4.63036
2 100000 0.2 1 1e+01 1 0 0.2 1 20.1529 20.0053 0.147652
2 100000 0.2 1 1e+02 1 0 0.2 1 39.5667 39.4195 0.147171
2 100000 0.2 1 1e+03 1 0 0.2 1 59.6621 59.5149 0.147259
2 100000 0.2 1 1e+04 1 0 0.2 1 79.8282 79.6809 0.147263
2 100000 0.2 1 1e+01 1 0 0.2 2 20.3524 20.1484 0.204059
2 100000 0.2 1 1e+02 1 0 0.2 2 39.911 39.7015 0.209516
2 100000 0.2 1 1e+03 1 0 0.2 2 60.1501 59.9406 0.209509
2 100000 0.2 1 1e+04 1 0 0.2 2 80.4604 80.2509 0.209512
2 100000 0.2 1 1e+01 1 0 0.4 1 20.5967 19.9337 0.662975
2 100000 0.2 1 1e+02 1 0 0.4 1 39.9419 39.2785 0.663391
2 100000 0.2 1 1e+03 1 0 0.4 1 59.9657 59.302 0.663751
2 100000 0.2 1 1e+04 1 0 0.4 1 80.0597 79.3959 0.663754
2 100000 0.2 1 1e+01 1 0 0.4 2 20.9931 20.2199 0.773178
2 100000 0.2 1 1e+02 1 0 0.4 2 40.6281 39.8425 0.785606
2 100000 0.2 1 1e+03 1 0 0.4 2 60.939 60.1535 0.785578
2 100000 0.2 1 1e+04 1 0 0.4 2 81.3215 80.5359 0.785581
