#1e3_noboost	1e6_noboost	1e3_boost	1e6_boost
0.58622	0.62527	0.70000	0.80000
0.58625	0.62549	0.80000	0.70000
0.58691	0.62575	0.70000	0.60000
0.58761	0.62597	0.80000	0.70000
0.58758	0.62620	0.70000	0.80000
0.58755	0.62642	0.80000	0.70000
0.58862	0.62665	0.90000	0.60000
0.58861	0.62689	0.80000	0.70000
0.58828	0.62713	0.90000	0.80000
0.58829	0.62738	0.90000	0.70000
0.58890	0.62758	0.90000	0.60000
0.59016	0.62780	0.90000	0.70000
0.59019	0.62803	0.90000	0.80000
0.59063	0.62826	0.90000	0.70000
0.59018	0.62848	0.90000	0.60000
0.59134	0.62871	0.90000	0.70000
0.59139	0.62889	0.90000	0.80000
0.59135	0.62911	0.90000	0.70000
0.59164	0.62934	0.90000	0.60000
0.59178	0.62958	0.90000	0.70000
0.59223	0.62981	0.90000	0.80000
0.59219	0.63002	0.90000	0.70000
0.59244	0.63028	0.90000	0.60000
0.59227	0.63052	0.90000	0.70000
0.59241	0.63073	0.90000	0.80000
0.59282	0.63096	0.90000	0.70000
0.59358	0.63116	0.90000	0.60000
0.59338	0.63141	0.90000	0.50000
0.59431	0.63162	0.90000	0.60000
0.59438	0.63186	0.80000	0.70000
0.59515	0.63210	0.70000	0.80000
0.59619	0.63232	0.80000	0.70000
0.59630	0.63255	0.70000	0.60000
0.59696	0.63277	0.60000	0.70000
0.59738	0.63301	0.70000	0.80000
0.59752	0.63322	0.80000	0.70000
0.59695	0.63347	0.70000	0.60000
0.59716	0.63369	0.60000	0.70000
0.59869	0.63391	0.50000	0.80000
0.59978	0.63414	0.60000	0.70000
0.59965	0.63435	0.70000	0.60000
0.59938	0.63457	0.60000	0.70000
0.59944	0.63482	0.50000	0.80000
0.59941	0.63503	0.40000	0.70000
0.59981	0.63524	0.50000	0.60000
0.60048	0.63548	0.60000	0.50000
0.60026	0.63572	0.70000	0.60000
0.59984	0.63594	0.60000	0.70000
0.60020	0.63616	0.70000	0.80000
0.60083	0.63641	0.80000	0.70000
0.60190	0.63665	0.90000	0.60000
0.60236	0.63691	0.80000	0.70000
0.60239	0.63714	0.90000	0.80000
0.60230	0.63738	0.90000	0.70000
0.60145	0.63760	0.90000	0.60000
0.60240	0.63781	0.90000	0.70000
0.60256	0.63804	0.90000	0.80000
0.60354	0.63825	0.90000	0.70000
0.60502	0.63848	0.80000	0.60000
