#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7 AS=8 AS=9 AS=10 AS=11
291 10 0 0 0 0 0 0 0 0 0 0 0
292 4 0 0 0 0 0 0 0 0 0 0 0
293 5 0 0 0 0 0 0 0 0 0 0 0
294 9 0 0 0 0 0 0 0 0 0 0 0
295 6 0 0 0 0 0 0 0 0 0 0 0
296 6 0 0 0 0 0 0 0 0 0 0 0
297 7 0 0 0 0 0 0 0 0 0 0 0
298 5 0 0 0 0 0 0 0 0 0 0 0
299 5 0 0 0 0 0 0 0 0 0 0 0
300 6 0 0 0 0 0 0 0 0 0 0 0
301 8 0 0 0 0 0 0 0 0 0 0 0
302 6 0 0 0 0 0 0 0 0 0 0 0
303 8 0 0 0 0 0 0 0 0 0 0 0
304 4 0 0 0 0 0 0 0 0 0 0 0
305 7 0 0 0 0 0 0 0 0 0 0 0
306 6 0 0 0 0 0 0 0 0 0 0 0
307 4 0 0 0 0 0 0 0 0 0 0 0
308 14 0 0 0 0 0 0 0 0 0 0 0
309 4 0 0 0 0 0 0 0 0 0 0 0
310 8 0 0 0 0 0 0 0 0 0 0 0
311 8 0 0 0 0 0 0 0 0 0 0 0
312 11 0 0 0 0 0 0 0 0 0 0 0
313 3 0 0 0 0 0 0 0 0 0 0 0
314 5 0 0 0 0 0 0 0 0 0 0 0
315 6 0 0 0 0 0 0 0 0 0 0 0
316 12 0 0 0 0 0 0 0 0 0 0 0
317 6 0 0 0 0 0 0 0 0 0 0 0
318 6 0 0 0 0 0 0 0 0 0 0 0
319 5 0 0 0 0 0 0 0 0 0 0 0
320 2 0 0 0 0 0 0 0 0 0 0 0
321 6 0 0 0 0 0 0 0 0 0 0 0
322 7 0 0 0 0 0 0 0 0 0 0 0
323 9 0 0 0 0 0 0 0 0 0 0 0
324 6 0 0 0 0 0 0 0 0 0 0 0
325 7 0 0 0 0 0 0 0 0 0 0 0
326 8 0 0 0 0 0 0 0 0 0 0 0
327 4 0 0 0 0 0 0 0 0 0 0 0
328 8 0 0 0 0 0 0 0 0 0 0 0
329 11 0 0 0 0 0 0 0 0 0 0 0
330 5 0 0 0 0 0 0 0 0 0 0 0
331 7 0 0 0 0 0 0 0 0 0 0 0
332 7 0 0 0 0 0 0 0 0 0 0 0
333 2 0 0 0 0 0 0 0 0 0 0 0
334 4 0 0 0 0 0 0 0 0 0 0 0
335 11 0 0 0 0 0 0 0 0 0 0 0
336 6 0 0 0 0 0 0 0 0 0 0 0
337 6 0 0 0 0 0 0 0 0 0 0 0
338 3 0 0 0 0 0 0 0 0 0 0 0
339 5 0 0 0 0 0 0 0 0 0 0 0
340 7 0 0 0 0 0 0 0 0 0 0 0
341 8 0 0 0 0 0 0 0 0 0 0 0
342 2 0 0 0 0 0 0 0 0 0 0 0
343 3 0 0 0 0 0 0 0 0 0 0 0
344 8 0 0 0 0 0 0 0 0 0 0 0
345 8 0 0 0 0 0 0 0 0 0 0 0
346 2 0 0 0 0 0 0 0 0 0 0 0
347 6 0 0 0 0 0 0 0 0 0 0 0
348 4 0 0 0 0 0 0 0 0 0 0 0
349 7 0 0 0 0 0 0 0 0 0 0 0
350 7 0 0 0 0 0 0 0 0 0 0 0
351 5 0 0 0 0 0 0 0 0 0 0 0
352 9 0 0 0 0 0 0 0 0 0 0 0
353 7 0 0 0 0 0 0 0 0 0 0 0
354 6 0 0 0 0 0 0 0 0 0 0 0
355 6 0 0 0 0 0 0 0 0 0 0 0
356 7 0 0 0 0 0 0 0 0 0 0 0
357 9 0 0 0 0 0 0 0 0 0 0 0
358 6 0 0 0 0 0 0 0 0 0 0 0
359 1 0 0 0 0 0 0 0 0 0 0 0
360 3 0 0 0 0 0 0 0 0 0 0 0
361 4 0 0 0 0 0 0 0 0 0 0 0
362 6 0 0 0 0 0 0 0 0 0 0 0
363 10 0 0 0 0 0 0 0 0 0 0 0
364 6 0 0 0 0 0 0 0 0 0 0 0
365 7 0 0 0 0 0 0 0 0 0 0 0
366 4 0 0 0 0 0 0 0 0 0 0 0
367 1 0 0 0 0 0 0 0 0 0 0 0
368 7 0 0 0 0 0 0 0 0 0 0 0
369 4 0 0 0 0 0 0 0 0 0 0 0
370 6 0 0 0 0 0 0 0 0 0 0 0
371 4 0 0 0 0 0 0 0 0 0 0 0
372 6 0 0 0 0 0 0 0 0 0 0 0
373 1 0 0 0 0 0 0 0 0 0 0 0
374 1 0 0 0 0 0 0 0 0 0 0 0
375 6 0 0 0 0 0 0 0 0 0 0 0
376 9 0 0 0 0 0 0 0 0 0 0 0
377 7 0 0 0 0 0 0 0 0 0 0 0
378 5 0 0 0 0 0 0 0 0 0 0 0
379 9 0 0 0 0 0 0 0 0 0 0 0
380 5 0 0 0 0 0 0 0 0 0 0 0
381 6 0 0 0 0 0 0 0 0 0 0 0
382 6 0 0 0 0 0 0 0 0 0 0 0
383 6 0 0 0 0 0 0 0 0 0 0 0
384 5 0 0 0 0 0 0 0 0 0 0 0
385 3 0 0 0 0 0 0 0 0 0 0 0
386 7 0 0 0 0 0 0 0 0 0 0 0
387 6 0 0 0 0 0 0 0 0 0 0 0
388 6 0 0 0 0 0 0 0 0 0 0 0
389 4 0 0 0 0 0 0 0 0 0 0 0
390 5 0 0 0 0 0 0 0 0 0 0 0
391 5 0 0 0 0 0 0 0 0 0 0 0
392 8 0 0 0 0 0 0 0 0 0 0 0
393 10 0 0 0 0 0 0 0 0 0 0 0
394 3 0 0 0 0 0 0 0 0 0 0 0
395 5 0 0 0 0 0 0 0 0 0 0 0
396 4 0 0 0 0 0 0 0 0 0 0 0
397 7 0 0 0 0 0 0 0 0 0 0 0
398 5 0 0 0 0 0 0 0 0 0 0 0
399 7 0 0 0 0 0 0 0 0 0 0 0
400 5 0 0 0 0 0 0 0 0 0 0 0
401 5 0 0 0 0 0 0 0 0 0 0 0
402 4 0 0 0 0 0 0 0 0 0 0 0
403 5 0 0 0 0 0 0 0 0 0 0 0
404 4 0 0 0 0 0 0 0 0 0 0 0
405 2 0 0 0 0 0 0 0 0 0 0 0
406 6 0 0 0 0 0 0 0 0 0 0 0
407 4 0 0 0 0 0 0 0 0 0 0 0
408 2 0 0 0 0 0 0 0 0 0 0 0
409 5 0 0 0 0 0 0 0 0 0 0 0
410 2 0 0 0 0 0 0 0 0 0 0 0
