#rank requests AS=1 AS=2 AS=3 AS=4 AS=5 AS=6 AS=7
774 0 0 0 0 0 0 0 0
775 0 0 0 0 0 0 0 0
776 1 0 0 0 0 0 0 0
777 0 0 0 0 0 0 0 0
778 0 0 0 0 0 0 0 0
779 2 0 0 0 0 0 0 0
780 0 0 0 0 0 0 0 0
781 2 0 0 0 0 0 0 0
782 1 0 0 0 0 0 0 0
783 0 0 0 0 0 0 0 0
784 0 0 0 0 0 0 0 0
785 0 0 0 0 0 0 0 0
786 0 0 0 0 0 0 0 0
787 1 0 0 0 0 0 0 0
788 1 0 0 0 0 0 0 0
789 2 0 0 0 0 0 0 0
790 1 0 0 0 0 0 0 0
791 3 0 0 0 0 0 0 0
792 0 0 0 0 0 0 0 0
793 0 0 0 0 0 0 0 0
794 0 0 0 0 0 0 0 0
795 2 0 0 0 0 0 0 0
796 0 0 0 0 0 0 0 0
797 2 0 0 0 0 0 0 0
798 4 0 0 0 0 0 0 0
799 3 0 0 0 0 0 0 0
800 0 0 0 0 0 0 0 0
801 1 0 0 0 0 0 0 0
802 0 0 0 0 0 0 0 0
803 3 0 0 0 0 0 0 0
804 3 0 0 0 0 0 0 0
805 2 0 0 0 0 0 0 0
806 2 0 0 0 0 0 0 0
807 3 0 0 0 0 0 0 0
808 4 0 0 0 0 0 0 0
809 0 0 0 0 0 0 0 0
810 0 0 0 0 0 0 0 0
811 0 0 0 0 0 0 0 0
812 1 0 0 0 0 0 0 0
813 0 0 0 0 0 0 0 0
814 0 0 0 0 0 0 0 0
815 0 0 0 0 0 0 0 0
816 0 0 0 0 0 0 0 0
817 0 0 0 0 0 0 0 0
818 5 0 0 0 0 0 0 0
819 1 0 0 0 0 0 0 0
820 0 0 0 0 0 0 0 0
821 2 0 0 0 0 0 0 0
822 1 0 0 0 0 0 0 0
823 0 0 0 0 0 0 0 0
824 1 0 0 0 0 0 0 0
825 0 0 0 0 0 0 0 0
826 2 0 0 0 0 0 0 0
827 0 0 0 0 0 0 0 0
828 0 0 0 0 0 0 0 0
829 0 0 0 0 0 0 0 0
830 1 0 0 0 0 0 0 0
831 1 0 0 0 0 0 0 0
832 0 0 0 0 0 0 0 0
833 0 0 0 0 0 0 0 0
834 1 0 0 0 0 0 0 0
835 2 0 0 0 0 0 0 0
836 0 0 0 0 0 0 0 0
837 1 0 0 0 0 0 0 0
838 1 0 0 0 0 0 0 0
839 1 0 0 0 0 0 0 0
840 0 0 0 0 0 0 0 0
841 2 0 0 0 0 0 0 0
842 0 0 0 0 0 0 0 0
843 0 0 0 0 0 0 0 0
844 1 0 0 0 0 0 0 0
845 1 0 0 0 0 0 0 0
846 2 0 0 0 0 0 0 0
847 2 0 0 0 0 0 0 0
848 3 0 0 0 0 0 0 0
849 1 0 0 0 0 0 0 0
850 0 0 0 0 0 0 0 0
851 0 0 0 0 0 0 0 0
852 1 0 0 0 0 0 0 0
853 0 0 0 0 0 0 0 0
854 0 0 0 0 0 0 0 0
855 2 0 0 0 0 0 0 0
856 0 0 0 0 0 0 0 0
857 0 0 0 0 0 0 0 0
858 1 0 0 0 0 0 0 0
859 0 0 0 0 0 0 0 0
860 0 0 0 0 0 0 0 0
861 1 0 0 0 0 0 0 0
862 1 0 0 0 0 0 0 0
863 2 0 0 0 0 0 0 0
864 0 0 0 0 0 0 0 0
865 0 0 0 0 0 0 0 0
866 0 0 0 0 0 0 0 0
867 0 0 0 0 0 0 0 0
868 0 0 0 0 0 0 0 0
869 2 0 0 0 0 0 0 0
870 1 0 0 0 0 0 0 0
871 0 0 0 0 0 0 0 0
872 1 0 0 0 0 0 0 0
873 0 0 0 0 0 0 0 0
874 0 0 0 0 0 0 0 0
875 4 0 0 0 0 0 0 0
876 1 0 0 0 0 0 0 0
877 0 0 0 0 0 0 0 0
878 1 0 0 0 0 0 0 0
879 1 0 0 0 0 0 0 0
880 0 0 0 0 0 0 0 0
881 1 0 0 0 0 0 0 0
882 2 0 0 0 0 0 0 0
883 2 0 0 0 0 0 0 0
884 0 0 0 0 0 0 0 0
885 1 0 0 0 0 0 0 0
886 2 0 0 0 0 0 0 0
887 0 0 0 0 0 0 0 0
888 0 0 0 0 0 0 0 0
889 0 0 0 0 0 0 0 0
890 0 0 0 0 0 0 0 0
891 0 0 0 0 0 0 0 0
892 0 0 0 0 0 0 0 0
893 0 0 0 0 0 0 0 0
894 3 0 0 0 0 0 0 0
895 2 0 0 0 0 0 0 0
896 0 0 0 0 0 0 0 0
897 1 0 0 0 0 0 0 0
898 1 0 0 0 0 0 0 0
899 0 0 0 0 0 0 0 0
900 2 0 0 0 0 0 0 0
901 0 0 0 0 0 0 0 0
902 1 0 0 0 0 0 0 0
903 1 0 0 0 0 0 0 0
904 0 0 0 0 0 0 0 0
905 0 0 0 0 0 0 0 0
906 0 0 0 0 0 0 0 0
907 3 0 0 0 0 0 0 0
908 2 0 0 0 0 0 0 0
909 1 0 0 0 0 0 0 0
910 0 0 0 0 0 0 0 0
911 0 0 0 0 0 0 0 0
912 1 0 0 0 0 0 0 0
913 0 0 0 0 0 0 0 0
914 0 0 0 0 0 0 0 0
915 1 0 0 0 0 0 0 0
916 2 0 0 0 0 0 0 0
917 0 0 0 0 0 0 0 0
918 1 0 0 0 0 0 0 0
919 0 0 0 0 0 0 0 0
920 0 0 0 0 0 0 0 0
921 0 0 0 0 0 0 0 0
922 0 0 0 0 0 0 0 0
923 0 0 0 0 0 0 0 0
924 0 0 0 0 0 0 0 0
925 0 0 0 0 0 0 0 0
926 2 0 0 0 0 0 0 0
927 0 0 0 0 0 0 0 0
928 2 0 0 0 0 0 0 0
929 2 0 0 0 0 0 0 0
930 0 0 0 0 0 0 0 0
931 1 0 0 0 0 0 0 0
932 0 0 0 0 0 0 0 0
933 0 0 0 0 0 0 0 0
934 0 0 0 0 0 0 0 0
935 0 0 0 0 0 0 0 0
936 0 0 0 0 0 0 0 0
937 1 0 0 0 0 0 0 0
938 5 0 0 0 0 0 0 0
939 2 0 0 0 0 0 0 0
940 1 0 0 0 0 0 0 0
941 1 0 0 0 0 0 0 0
942 0 0 0 0 0 0 0 0
943 1 0 0 0 0 0 0 0
944 0 0 0 0 0 0 0 0
945 1 0 0 0 0 0 0 0
946 2 0 0 0 0 0 0 0
947 0 0 0 0 0 0 0 0
948 0 0 0 0 0 0 0 0
949 0 0 0 0 0 0 0 0
950 1 0 0 0 0 0 0 0
951 2 0 0 0 0 0 0 0
952 0 0 0 0 0 0 0 0
953 0 0 0 0 0 0 0 0
954 0 0 0 0 0 0 0 0
955 1 0 0 0 0 0 0 0
956 1 0 0 0 0 0 0 0
957 2 0 0 0 0 0 0 0
958 0 0 0 0 0 0 0 0
959 1 0 0 0 0 0 0 0
960 2 0 0 0 0 0 0 0
961 0 0 0 0 0 0 0 0
962 1 0 0 0 0 0 0 0
963 0 0 0 0 0 0 0 0
964 0 0 0 0 0 0 0 0
965 0 0 0 0 0 0 0 0
966 0 0 0 0 0 0 0 0
967 0 0 0 0 0 0 0 0
968 3 0 0 0 0 0 0 0
969 3 0 0 0 0 0 0 0
970 0 0 0 0 0 0 0 0
971 0 0 0 0 0 0 0 0
972 0 0 0 0 0 0 0 0
973 2 0 0 0 0 0 0 0
974 0 0 0 0 0 0 0 0
975 0 0 0 0 0 0 0 0
976 0 0 0 0 0 0 0 0
977 0 0 0 0 0 0 0 0
978 0 0 0 0 0 0 0 0
979 0 0 0 0 0 0 0 0
980 1 0 0 0 0 0 0 0
981 0 0 0 0 0 0 0 0
982 1 0 0 0 0 0 0 0
983 0 0 0 0 0 0 0 0
984 3 0 0 0 0 0 0 0
985 0 0 0 0 0 0 0 0
986 1 0 0 0 0 0 0 0
987 1 0 0 0 0 0 0 0
988 1 0 0 0 0 0 0 0
989 0 0 0 0 0 0 0 0
990 0 0 0 0 0 0 0 0
991 2 0 0 0 0 0 0 0
992 2 0 0 0 0 0 0 0
993 1 0 0 0 0 0 0 0
994 0 0 0 0 0 0 0 0
995 1 0 0 0 0 0 0 0
996 0 0 0 0 0 0 0 0
997 0 0 0 0 0 0 0 0
998 1 0 0 0 0 0 0 0
999 0 0 0 0 0 0 0 0
1000 0 0 0 0 0 0 0 0
